cni;nom;prenom;telephone;dateNaiss;passport;permis;genre;crashDate;description;persontrauma;consumalcohol;consumdrugs;poids;temperature;pouls;tension
486641;Ermengarde;Salvidor;692766906;1984-09-18;616861;970212;1;2019-12-13 08:12;oJ;1;oui;non;88;4;22;30
363039;Kate;Sperling;679226361;1979-11-10;955055;470814;1;2013-09-29 20:09;NL;3;oui;non;79;18;116;2
780679;Zia;Francene;694751258;2005-07-19;631998;940729;1;1977-01-25 02:01;GD;3;oui;oui;94;33;177;25
894165;Gale;Ade;662378617;2000-11-11;669591;865272;3;2015-04-03 17:04;zf;1;non;oui;72;6;15;27
179547;Carmela;Klotz;691514870;1973-01-31;939447;840473;1;2005-08-07 13:08;Xc;3;non;oui;88;5;150;10
807620;Ayn;Kendrick;677886891;1995-09-06;251785;302230;2;1995-11-25 14:11;yU;3;non;oui;87;48;131;17
805147;Darci;Doig;681909631;1970-11-03;521356;663836;1;1979-06-20 04:06;sU;3;oui;oui;54;15;55;12
453235;Gavrielle;Colbert;691290053;1996-09-10;932921;783630;2;1987-07-02 15:07;bE;2;oui;non;49;4;30;2
351672;Oona;Grobe;693591686;1998-11-23;172294;436276;1;2016-08-09 19:08;gs;1;non;non;91;9;102;8
768195;Chandra;Meter;672788268;2009-03-09;782463;898505;1;1981-04-06 03:04;IE;1;non;oui;67;6;171;8
720066;Maisey;Gamaliel;689703465;2009-08-08;863012;216212;1;2007-06-21 02:06;" Z";3;non;oui;81;7;83;21
769243;Jaime;Dannye;652476222;1991-12-30;684920;651330;2;2012-01-24 11:01;" t";3;non;non;51;23;50;3
475532;Tera;Talia;662841292;1990-12-15;368676;854729;2;1996-09-19 10:09;bl;2;non;oui;71;11;35;28
69427;Anica;Yorick;694317049;2005-08-07;721194;707567;2;1982-09-03 05:09;Kz;2;non;non;106;12;160;28
416207;Hope;Ioab;687240557;1977-05-22;139484;368256;2;1997-05-30 01:05;Rj;3;oui;non;36;41;138;20
919191;Jobi;Koziara;668761715;1970-03-03;611809;908533;1;1996-04-08 22:04;"A ";3;non;oui;127;19;84;10
391023;Jillayne;Kesley;674645927;1987-09-05;902898;270644;2;2017-02-12 04:02;Xp;2;oui;non;62;28;164;29
261194;Taffy;Nikaniki;694481329;1970-10-08;809414;842369;2;1991-06-12 08:06;LB;2;non;oui;98;25;72;26
424226;Livvyy;Fry;669449625;1977-03-09;438949;651317;3;1995-06-07 14:06;qe;2;oui;oui;68;8;19;2
652955;Bertine;Ferino;651527650;1978-04-20;487144;657021;2;2006-12-29 20:12;ev;1;oui;non;70;29;140;15
742650;Aaren;Kaete;684615932;2011-08-07;379581;472614;3;1977-08-13 11:08;zP;3;oui;non;97;32;188;6
930924;Kathi;Nedrud;676890061;1983-07-02;141269;592403;1;1983-12-15 01:12;TR;3;oui;non;98;8;12;27
426170;Gloria;Corilla;696503780;1979-09-19;698828;686938;1;2012-05-31 04:05;tq;1;oui;oui;147;15;35;10
143435;Yvonne;Berriman;659093909;2002-09-14;569812;449877;1;2013-01-15 19:01;qR;2;non;non;118;34;69;8
836720;Gerrie;Cressida;689428851;2002-04-20;344681;602865;1;1991-03-24 19:03;AC;2;oui;oui;38;33;112;6
793946;Dione;Rodmann;650386567;2018-12-03;916136;872566;3;2019-12-24 11:12;Ip;1;oui;oui;73;10;3;24
610396;Binny;Pernick;657204893;2014-10-03;484892;555689;2;2012-02-24 13:02;KF;3;oui;oui;32;26;163;29
259290;Adore;Anyah;695733343;2004-10-29;272120;423050;3;1995-05-31 20:05;ht;1;non;non;97;13;172;5
687722;Beverley;Eiser;651617981;1998-01-25;761390;344739;1;1994-04-06 11:04;Jl;1;non;non;40;15;10;8
844438;Elmira;Guthrie;694794522;1990-11-19;487473;666010;1;1984-06-17 20:06;jh;2;oui;oui;47;7;20;3
122384;Briney;Kirbee;678477598;1995-06-17;317674;973772;1;2005-05-18 18:05;aa;2;oui;oui;40;10;22;29
958662;Dotty;Jary;654427034;1983-06-06;506348;886855;2;1985-03-16 18:03;pj;2;oui;oui;109;48;88;20
217674;Briney;Ralfston;675630804;1970-10-12;969795;687672;3;1976-07-30 04:07;al;2;oui;oui;143;21;115;15
305913;Maisey;Rese;651142694;2019-10-20;237573;927901;1;2006-12-15 12:12;hB;1;non;non;45;28;136;18
394244;Netty;Reinke;689545111;1980-07-22;971019;313851;3;1992-03-31 22:03;sM;3;oui;oui;131;10;25;4
451478;Gretal;Greenwald;689166520;2010-10-19;284035;484443;1;2019-01-22 12:01;NG;3;non;oui;42;8;72;14
955434;Fayre;Juan;685038611;1996-10-03;786800;985060;1;1990-07-23 15:07;yG;1;non;non;30;26;123;7
139185;Cindelyn;Hunfredo;698392454;2012-12-30;848731;597994;3;2017-01-24 04:01;nj;2;oui;non;44;15;47;1
521059;Sara-Ann;Bobbee;660774951;1976-03-30;676251;858955;1;1999-12-26 19:12;li;3;oui;non;33;18;110;2
786536;Annice;Raychel;650441395;1972-09-30;118582;390881;3;2013-03-22 16:03;Ki;1;non;oui;39;32;44;1
288067;Carly;Guildroy;673149283;1987-07-06;901764;898912;3;1975-08-17 08:08;vT;1;non;non;149;8;164;21
217269;Shel;Garrison;654094807;1996-09-04;551618;973562;3;1979-02-21 23:02;Gw;2;oui;non;73;21;121;24
828682;Penelopa;Fontana;685102076;2008-01-16;741747;391103;2;1992-03-24 12:03;Pa;3;non;non;33;20;62;19
184290;Minne;Atcliffe;696320297;2014-02-02;119093;137599;3;1979-03-19 00:03;SS;1;oui;non;64;27;149;12
665356;Mathilda;Voletta;659790935;1990-09-27;468235;547295;2;1988-02-19 16:02;DT;1;non;non;134;1;142;22
630483;Melisent;Burnside;667700533;1984-04-18;413086;288410;3;2012-01-01 09:01;LH;1;oui;oui;147;45;103;2
147866;Maud;Hunfredo;664824584;2018-10-24;513673;793673;2;1976-07-07 07:07;OQ;3;non;non;30;10;34;24
817035;Shaine;Sophronia;651522821;1980-04-18;891774;387433;2;2017-12-15 17:12;Tl;1;non;oui;85;17;68;17
520903;Maurene;Penelopa;655385357;2006-07-29;817778;214055;2;1980-04-29 06:04;Dn;3;non;oui;32;30;95;19
609456;Hermione;Goddard;652045042;2004-06-30;762352;661098;2;1984-08-01 21:08;NU;2;oui;oui;70;23;21;17
156115;Lanae;Margarete;660323585;2017-01-15;505001;532230;2;1987-03-31 14:03;IZ;1;non;oui;36;40;77;29
453868;Anica;Sekofski;678538008;1986-07-03;966133;628689;1;2010-11-27 23:11;AM;1;non;non;107;23;1;10
468977;Miquela;Astra;674488989;2004-08-26;339261;332528;1;2016-01-22 07:01;rn;2;oui;oui;82;36;31;30
105980;Alia;MacIntosh;658533780;1977-03-17;836161;121010;3;2009-11-14 10:11;Hk;1;non;non;60;8;0;27
933509;June;Richers;693787954;2001-09-30;762515;329204;2;2013-08-03 01:08;" Q";3;oui;oui;93;47;72;16
313243;Eadie;Jotham;693036096;2010-01-22;353856;205756;2;2019-03-24 19:03;NL;1;oui;non;150;22;79;30
588253;Rori;Candy;690224410;2014-06-06;602692;702312;3;1981-03-24 13:03;Kg;3;oui;oui;137;32;153;29
972981;Charmaine;Adrienne;697023986;2014-05-24;997390;303118;2;1974-08-23 07:08;"X ";1;non;non;136;17;60;14
484116;Lacie;Sandye;653929199;1988-02-01;602058;676018;1;1976-10-29 12:10;sG;2;non;non;139;50;77;29
756852;Alisha;Ries;662848690;2015-09-09;211725;553972;2;1975-04-07 11:04;nT;1;non;oui;116;13;89;9
684292;Zaria;Voletta;693333410;2016-01-04;622626;394332;1;2019-10-24 22:10;kZ;2;non;oui;63;47;109;19
985085;Rochette;Wareing;682067790;2010-08-31;786887;835729;3;1996-01-13 13:01;MP;1;non;oui;57;39;162;19
664068;Ada;Lymann;669469946;2003-12-22;856188;439572;2;1995-03-31 16:03;KK;1;oui;oui;30;3;81;8
58343;Kore;Maurine;684325132;2001-05-14;546824;972373;1;1971-11-10 10:11;bw;1;non;oui;120;3;72;6
320286;Althea;Tjon;671535691;1988-11-14;848813;674795;2;1996-01-08 14:01;Lv;1;oui;non;114;18;109;27
386835;Janey;Rillings;667675339;2019-06-12;315155;951878;3;2002-03-10 03:03;dT;3;non;non;117;7;177;27
105837;Belinda;Tound;663505910;2005-05-01;112956;823935;3;2016-12-08 03:12;uP;1;oui;non;91;29;114;26
801361;Bernardine;Ludewig;675606268;1994-11-18;187619;967138;1;1976-02-11 23:02;Ti;3;oui;non;79;7;122;18
952328;Glynnis;Berl;656275780;1990-01-06;660193;831328;2;2001-07-15 04:07;fr;1;oui;oui;69;45;107;29
765319;Brianna;Weinreb;694114692;2001-08-12;909792;392652;3;1981-03-23 06:03;JI;1;non;oui;95;29;35;17
330801;Alejandra;Manolo;671409171;1972-09-20;711483;578360;3;1976-11-04 12:11;AM;3;non;non;52;25;133;25
